room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
0,7,1,0,195,2.1558325172987405,1,98.36935339224627,17,0,500.0,75.0,1,0.0,100.0,2.0,3.0,3.0,0,5
0,0,1,0,150,4.171082879840575,2,62.293599363396225,8,0,300.0,30.0,1,20.0,94.41,1.0,1.0,1.0,0,2
1,31,1,323,200,6.961085694610554,2,30.0,27,0,0.0,45.0,1,15.0,99.0,1.0,1.0,1.0,0,2
0,245,1,295,165,5.2430412655480865,1,10.0,22,0,0.0,38.0,4,10.0,94.0,1.0,1.0,3.0,0,5
1,161,1,326,35,2.503214626755785,2,60.58137438652904,20,0,0.0,30.0,1,30.0,96.0,1.0,1.0,1.0,0,1
1,7,2,291,51,7.266512179646988,0,10.0,11,0,500.0,5.0,1,20.0,83.0,0.0,1.0,1.0,0,1
1,189,1,64,35,2.0945752323405573,1,60.59750217066886,10,0,213.93,20.0,1,20.0,98.0,1.0,1.0,1.0,0,2
1,195,1,129,45,3.353517899956622,1,60.310855316723114,19,0,0.0,0.0,1,15.0,94.0,1.0,1.0,2.0,0,3
0,16,1,276,60,7.486985661209445,2,15.0,18,0,200.0,75.0,2,0.0,93.0,1.0,1.0,2.0,0,2
1,29,1,328,45,9.62688173004813,1,11.0,29,0,213.93,20.0,1,20.0,96.0,0.5,1.0,2.0,0,2
0,413,2,107,75,5.51588313170596,0,55.0,29,0,0.0,30.0,2,10.0,96.0,1.0,2.0,2.0,0,4
0,195,1,339,69,5.260047505314777,2,61.29394232166323,20,0,500.0,60.0,1,10.0,94.0,1.0,1.0,2.0,0,2
0,6,1,0,45,3.0113707304247352,1,48.0,12,0,400.0,50.0,1,15.0,100.0,1.0,1.0,1.0,0,3
0,2,4,113,50,21.773778566687376,2,76.72990377058406,18,0,100.0,30.0,1,25.0,100.0,1.0,1.0,3.0,0,4
0,29,1,3,110,3.696347294932966,2,104.15832407333315,17,0,213.93,40.0,4,20.0,98.0,2.0,3.0,3.0,0,5
1,19,2,355,95,2.4114125610050112,2,56.056550117272224,13,0,850.0,20.0,1,18.0,98.0,1.0,1.0,2.0,2,1
0,41,1,136,75,1.9319700433174263,1,70.0,21,0,200.0,35.0,2,10.0,97.0,1.0,2.0,2.0,0,4
1,200,1,311,30,14.10060886407209,0,15.0,22,0,213.93,26.73,1,10.0,99.0,1.0,1.0,1.0,0,1
0,51,2,311,65,4.650047619345698,2,55.665838770302486,20,0,150.0,29.0,2,10.0,91.0,1.0,1.0,2.0,0,2
0,35,2,276,65,4.63063341310681,2,55.665838770302486,20,0,150.0,29.0,2,10.0,90.0,1.0,1.0,1.0,0,2
1,106,1,236,46,2.8459618782352822,1,10.0,21,0,0.0,10.0,1,8.0,97.0,1.0,1.0,1.0,0,2
0,7,1,104,65,12.270912279689009,0,19.0,16,0,2400.0,200.0,4,10.0,100.0,2.5,4.0,8.0,0,8
1,130,3,93,28,4.486617916415653,2,25.0,24,0,89.0,20.0,1,22.0,96.0,1.0,1.0,2.0,0,3
0,18,1,221,30,8.14600910541426,2,43.76227995057792,9,0,150.0,30.0,1,0.0,92.0,1.0,1.0,1.0,0,1
0,62,1,220,49,3.77386775283218,2,30.0,26,0,0.0,70.0,2,5.0,93.0,1.0,1.0,1.0,0,2
0,7,1,107,55,1.699962914527993,2,51.52591530631855,10,0,500.0,30.0,1,0.0,97.0,1.0,1.0,1.0,0,2
0,36,1,211,98,7.3244080720632265,2,70.0,27,0,1000.0,75.0,2,15.0,99.0,1.0,1.0,1.0,0,2
1,30,1,251,32,3.0507590282841752,1,40.0,8,0,213.93,20.0,1,13.0,99.0,1.0,1.0,1.0,0,2
0,15,1,345,55,14.095599050192734,0,69.00286707423172,9,0,213.93,25.0,2,12.0,92.0,1.0,1.0,4.0,0,4
0,42,1,359,39,3.4650244894917837,1,48.939726979811695,14,0,213.93,20.0,1,0.0,94.0,1.0,1.0,2.0,0,2
0,39,2,244,82,1.7436778180354326,2,30.0,25,0,213.93,30.0,2,6.0,98.0,1.0,2.0,2.0,0,4
