room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
15,41,4,364,96,1.0993590551198096,18,40.0,15,0,500.0,100.0,2,30.0,93.0,1.0,2.0,4.0,7,5
15,81,4,0,76,1.0402344536323291,20,68.80811540916528,26,0,213.93,30.0,2,15.0,93.0,1.0,2.0,3.0,7,3
15,8,2,309,46,4.31002545753539,18,15.0,15,0,200.0,35.0,1,10.0,89.0,1.0,1.0,1.0,7,2
15,18,3,331,296,0.8282693521119638,18,200.0,30,0,500.0,98.0,4,69.0,93.0,2.0,3.0,6.0,7,6
15,17,3,333,244,0.8957645873398261,18,200.0,29,0,500.0,98.0,4,69.0,83.0,2.0,2.0,6.0,7,6
16,11,1,0,20,8.50453140689691,19,12.0,20,0,0.0,20.0,1,10.0,94.0,2.0,3.0,1.0,7,2
15,1,1,1,50,2.713187651495918,20,53.772790753698224,7,0,350.0,30.0,2,5.0,80.0,1.0,1.0,2.0,7,2
15,39,1,96,59,5.849095633442975,18,48.0,9,0,250.0,30.0,2,19.0,93.0,1.0,1.0,2.0,7,3
15,71,1,243,75,2.2984001729210233,18,53.0,18,0,300.0,40.0,1,25.0,97.0,1.0,1.0,2.0,7,3
15,18,1,202,39,6.945325008247183,18,30.0,24,0,100.0,30.0,1,0.0,96.0,1.0,1.0,1.0,7,1
16,385,2,167,39,1.6758779594736386,20,40.107658161574435,11,0,213.93,0.0,1,0.0,98.0,1.0,1.0,1.0,7,1
15,389,3,287,64,2.899346570059534,18,35.0,12,0,100.0,25.0,1,10.0,92.0,1.0,1.0,1.0,7,2
16,15,1,0,35,6.127531748343691,20,56.89658299814233,10,0,100.0,15.0,1,5.0,84.0,1.0,1.0,3.0,7,3
15,350,1,272,100,6.871036650435578,19,80.17813056028248,31,0,200.0,50.0,3,15.0,94.0,1.0,1.0,2.0,7,5
15,36,3,224,375,4.64523745401974,18,190.0,17,0,1000.0,100.0,6,50.0,98.0,2.5,4.0,6.0,7,6
16,14,1,258,29,3.017671429118598,20,150.0,6,0,0.0,20.0,1,0.0,93.0,1.5,1.0,1.0,7,1
15,51,1,205,32,3.912362216896111,18,49.63398549409529,26,0,960.0,0.0,2,0.0,93.0,1.0,1.0,2.0,7,2
15,2,4,86,45,21.561472813627347,18,63.0,16,0,100.0,30.0,1,25.0,100.0,1.0,1.0,3.0,7,4
15,7,4,86,120,21.68611021071164,18,128.19529818443064,18,0,200.0,50.0,2,25.0,77.0,1.5,2.0,5.0,7,10
16,224,1,322,25,6.822703895469538,18,43.61743138471968,19,0,213.93,26.73,1,0.0,96.0,1.0,1.0,1.0,7,1
15,63,1,130,59,9.895131448993085,18,60.035678802334616,22,0,300.0,35.0,1,15.0,97.0,1.0,1.0,1.0,7,2
