room_type,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,security_deposit,cleaning_fee,guests_included,extra_people,bathrooms,bedrooms,beds,bed_type,accommodates
16,2,140,49,1.5336857385068676,20,55.652294851774805,11,213.93,26.73,1,10.0,1.0,1.0,1.0,7,2
16,1,43,38,2.949228588692122,18,215.0,17,213.93,26.73,1,18.0,1.0,1.0,1.0,7,2
15,6,328,65,7.571846150817341,18,10.0,15,0.0,40.0,1,25.0,1.0,2.0,5.0,7,5
16,1,301,75,3.3894036471269966,18,10.0,27,250.0,35.0,1,15.0,1.5,1.0,1.0,7,2
15,2,62,75,0.9998337699695174,18,300.0,20,213.93,35.0,2,19.0,1.0,1.0,4.0,7,4
16,2,142,38,6.050614839103449,19,50.0,24,100.0,17.0,1,0.0,1.0,1.0,1.0,7,2
16,1,338,89,4.473088498636575,20,60.0,22,200.0,30.0,2,7.0,1.0,2.0,4.0,7,4
15,1,66,74,3.130025860395509,18,81.21498448196022,15,150.0,35.0,2,25.0,1.0,2.0,3.0,7,4
15,3,0,50,1.4616871038208092,20,38.0,8,213.93,25.0,1,10.0,1.0,0.0,1.0,7,2
15,1,352,120,9.08883833057054,18,58.059698235131414,13,100.0,26.73,2,15.0,1.0,1.0,1.0,7,2
16,2,321,38,5.453384696862092,19,25.0,19,200.0,30.0,1,25.0,2.0,1.0,1.0,7,1
16,1,0,25,4.1515029202836695,19,20.0,8,213.93,26.73,1,10.0,1.5,1.0,1.0,7,2
15,1,55,89,14.285103634604587,18,83.53549440644949,25,0.0,40.0,2,29.0,1.0,2.0,6.0,7,4
15,1,133,88,3.0607638676736766,20,70.23422453868307,22,213.93,49.0,2,30.0,1.0,1.0,1.0,7,2
15,1,97,125,4.536067477223032,18,10.0,26,750.0,70.0,2,25.0,2.0,2.0,2.0,7,4
15,1,0,50,7.41671082106564,19,15.0,20,213.93,10.0,3,0.0,1.0,1.0,1.0,7,2
15,1,282,100,11.981064228523884,18,100.0,29,213.93,60.0,2,20.0,1.0,2.0,4.0,7,4
16,1,316,35,7.488797055155833,18,67.83533656337998,22,385.0,50.0,1,35.0,1.0,1.0,1.0,7,1
15,1,15,70,3.2593991684178816,20,55.79714341763296,24,150.0,30.0,1,10.0,1.0,1.0,1.0,7,2
15,1,0,195,2.1558325172987405,20,98.36935339224686,17,500.0,75.0,1,0.0,2.0,3.0,3.0,7,5
15,1,0,150,4.171082879840575,18,62.293599363396375,8,300.0,30.0,1,20.0,1.0,1.0,1.0,7,2
16,1,323,200,6.961085694610554,18,30.0,27,0.0,45.0,1,15.0,1.0,1.0,1.0,7,2
15,1,295,165,5.2430412655480865,20,10.0,22,0.0,38.0,4,10.0,1.0,1.0,3.0,7,5
16,1,326,35,2.503214626755785,18,60.58137438652875,20,0.0,30.0,1,30.0,1.0,1.0,1.0,7,1
16,2,291,51,7.266512179646988,19,10.0,11,500.0,5.0,1,20.0,0.0,1.0,1.0,7,1
16,1,64,35,2.0945752323405573,20,60.59750217066883,10,213.93,20.0,1,20.0,1.0,1.0,1.0,7,2
16,1,129,45,3.353517899956622,20,60.31085531672263,19,0.0,0.0,1,15.0,1.0,1.0,2.0,7,3
15,1,276,60,7.486985661209445,18,15.0,18,200.0,75.0,2,0.0,1.0,1.0,2.0,7,2
16,1,328,45,9.62688173004813,20,11.0,29,213.93,20.0,1,20.0,0.5,1.0,2.0,7,2
15,2,107,75,5.51588313170596,19,55.0,29,0.0,30.0,2,10.0,1.0,2.0,2.0,7,4
15,1,339,69,5.260047505314777,18,61.29394232166385,20,500.0,60.0,1,10.0,1.0,1.0,2.0,7,2
15,1,0,45,3.0113707304247352,20,48.0,12,400.0,50.0,1,15.0,1.0,1.0,1.0,7,3
15,4,113,50,21.773778566687376,18,76.72990377058377,18,100.0,30.0,1,25.0,1.0,1.0,3.0,7,4
15,1,3,110,3.696347294932966,18,104.15832407333312,17,213.93,40.0,4,20.0,2.0,3.0,3.0,7,5
16,2,355,95,2.4114125610050112,18,56.056550117273275,13,850.0,20.0,1,18.0,1.0,1.0,2.0,10,1
15,1,136,75,1.9319700433174263,20,70.0,21,200.0,35.0,2,10.0,1.0,2.0,2.0,7,4
16,1,311,30,14.10060886407209,19,15.0,22,213.93,26.73,1,10.0,1.0,1.0,1.0,7,1
15,2,311,65,4.650047619345698,18,55.66583877030242,20,150.0,29.0,2,10.0,1.0,1.0,2.0,7,2
15,2,276,65,4.63063341310681,18,55.66583877030242,20,150.0,29.0,2,10.0,1.0,1.0,1.0,7,2
16,1,236,46,2.8459618782352822,20,10.0,21,0.0,10.0,1,8.0,1.0,1.0,1.0,7,2
15,1,104,65,12.270912279689009,19,19.0,16,2400.0,200.0,4,10.0,2.5,4.0,8.0,7,8
16,3,93,28,4.486617916415653,18,25.0,24,89.0,20.0,1,22.0,1.0,1.0,2.0,7,3
15,1,221,30,8.14600910541426,18,43.762279950577934,9,150.0,30.0,1,0.0,1.0,1.0,1.0,7,1
15,1,220,49,3.77386775283218,18,30.0,26,0.0,70.0,2,5.0,1.0,1.0,1.0,7,2
15,1,107,55,1.699962914527993,18,51.52591530631907,10,500.0,30.0,1,0.0,1.0,1.0,1.0,7,2
15,1,211,98,7.3244080720632265,18,70.0,27,1000.0,75.0,2,15.0,1.0,1.0,1.0,7,2
16,1,251,32,3.0507590282841752,20,40.0,8,213.93,20.0,1,13.0,1.0,1.0,1.0,7,2
15,1,345,55,14.095599050192734,19,69.00286707423163,9,213.93,25.0,2,12.0,1.0,1.0,4.0,7,4
15,1,359,39,3.4650244894917837,20,48.93972697981172,14,213.93,20.0,1,0.0,1.0,1.0,2.0,7,2
15,2,244,82,1.7436778180354326,18,30.0,25,213.93,30.0,2,6.0,1.0,2.0,2.0,7,4
